Instance,shuffle time,cost,run time
RC101_2D,0,1225.5700823658153,6.006834464073181
RC101_2D,1,1241.7186306824483,5.936135625839233
RC101_2D,2,1206.9547278188434,6.0648293733596805
RC101_2D,3,1191.0372623683515,6.075728034973144
RC101_2D,4,1233.9872388563508,6.059939885139466
RC101_2D,5,1202.4121542518285,6.001727313995361
RC101_2D,6,1222.5345431224298,5.997342195510864
RC101_2D,7,1239.4505442026616,6.002833161354065
RC101_2D,8,1217.6809071927296,5.9610381507873536
RC101_2D,9,1203.497462590876,5.911086807250976
RC101_2D,10,1215.715058007193,6.087858557701111
RC101_2D,11,1203.251551102712,6.027407217025757
RC101_2D,12,1233.7050881938826,5.9354823970794675
RC101_2D,13,1195.7319786726437,6.044543380737305
RC101_2D,14,1241.7207030897591,5.908675928115844
RC101_2D,15,1222.5170625222627,6.008766837120056
RC101_2D,16,1211.2605337554749,6.130619764328003
RC101_2D,17,1208.4577070495732,6.124738373756409
RC101_2D,18,1223.728631174217,6.017328729629517
RC101_2D,19,1230.8596783349897,6.040070319175721
RC101_2D,20,1195.3819084718898,6.090731692314148
RC101_2D,21,1216.6999466822874,6.093032617568969
RC101_2D,22,1203.497462590876,6.032590265274048
RC101_2D,23,1216.5398588082926,6.104815740585327
RC101_2D,24,1206.9547278188434,5.896380252838135
RC101_2D,25,1211.071920337032,6.201348094940186
RC101_2D,26,1224.8186606982008,6.057375211715698
RC101_2D,27,1210.2303980649485,5.9704950189590456
RC101_2D,28,1217.2898315877105,5.947264785766602
RC101_2D,29,1195.3819084718898,6.201698617935181
